cl_fake,cl_real,critic_loss,epoch,generator_loss,step
-0.010765050537884235,-0.010734065435826778,-3.098510205745697e-05,141,0.011238468810915947,3249
-0.00988188199698925,-0.009849052876234055,-3.282912075519562e-05,143,0.010408129543066025,3299
-0.010172294452786446,-0.010172266513109207,-2.7939677238464355e-08,145,0.010172303766012192,3349
-0.010319072753190994,-0.010313480161130428,-5.5925920605659485e-06,147,0.010673653334379196,3399
-0.00945831649005413,-0.00945173017680645,-6.586313247680664e-06,149,0.009605295024812222,3449
-0.009379830211400986,-0.009379500523209572,-3.296881914138794e-07,152,0.009379715658724308,3499
-0.009168732911348343,-0.009168589487671852,-1.434236764907837e-07,154,0.009144286625087261,3549
-0.01262980978935957,-0.012628689408302307,-1.1203810572624207e-06,156,0.012626411393284798,3599
-0.009452219121158123,-0.00945216603577137,-5.3085386753082275e-08,158,0.009452179074287415,3649
-0.009185335598886013,-0.009174698032438755,-1.0637566447257996e-05,160,0.009116599336266518,3699
-0.007160145323723555,-0.007128400728106499,-3.174459561705589e-05,163,,3749
-0.010555451735854149,-0.010555467568337917,1.5832483768463135e-08,165,0.01055546011775732,3799
-0.010776638984680176,-0.010775717906653881,-9.210780262947083e-07,167,0.010747515596449375,3849
-0.008185439743101597,-0.008185186423361301,-2.5331974029541016e-07,169,0.008190975524485111,3899
-0.010589865036308765,-0.010588346049189568,-1.5189871191978455e-06,171,0.010589840821921825,3949
-0.010150106623768806,-0.010150074027478695,-3.259629011154175e-08,173,0.010151650756597519,3999
-0.010617527179419994,-0.010617461055517197,-6.612390279769897e-08,176,0.010608186945319176,4049
-0.010340842418372631,-0.010327635332942009,-1.32070854306221e-05,178,0.010342631489038467,4099
-0.009111268445849419,-0.009109146893024445,-2.12155282497406e-06,180,0.010310346260666847,4149
-0.008236750029027462,-0.008235621266067028,-1.12876296043396e-06,182,0.008152641355991364,4199
-0.009850751608610153,-0.009989084675908089,0.00013833306729793549,184,0.01003109198063612,4249
-0.010542425327003002,-0.010521333664655685,-2.1091662347316742e-05,186,0.011127524077892303,4299
-0.009223672561347485,-0.00922339130192995,-2.812594175338745e-07,189,0.00921703688800335,4349
-0.008595208637416363,-0.008591949939727783,-3.2586976885795593e-06,191,0.008619733154773712,4399
-0.009580417536199093,-0.009577707387506962,-2.7101486921310425e-06,193,0.009594586677849293,4449
-0.010874682106077671,-0.010873876512050629,-8.055940270423889e-07,195,0.010801407508552074,4499
-0.010146522894501686,-0.010108144022524357,-3.8378871977329254e-05,197,0.010159729979932308,4549
-0.009199777618050575,-0.00918583944439888,-1.3938173651695251e-05,199,0.009882254526019096,4599
